species	group
acetilactobacillus_jinshanensis_gca_004359375	nonvertebrates
acetitomaculum_ruminis_dsm_5522_gca_900112085	nonvertebrates
acetivibrio_clariflavus_dsm_19732_gca_000237085	nonvertebrates
acetivibrio_ethanolgignens_gca_001461035	nonvertebrates
acetivibrio_mesophilus_gca_004102745	nonvertebrates
acetivibrio_saccincola_gca_002969215	nonvertebrates
acetivibrio_thermocellus_atcc_27405_gca_000015865	nonvertebrates
acetivibrio_thermocellus_gca_004803955	nonvertebrates
acetivibrio_thermocellus_jcm_21531_gca_000521465	nonvertebrates
acetoanaerobium_noterae_gca_900168025	nonvertebrates
acetoanaerobium_sticklandii_gca_000196455	nonvertebrates
acetobacter_aceti_1023_gca_000691125	nonvertebrates
acetobacter_aceti_gca_002005445	nonvertebrates
acetobacter_aceti_nbrc_14818_gca_000963905	nonvertebrates
acetobacter_ascendens_gca_001766235	nonvertebrates
acetobacter_ascendens_gca_002173775	nonvertebrates
acetobacter_cerevisiae_gca_001580535	nonvertebrates
acetobacter_cerevisiae_gca_001581075	nonvertebrates
acetobacter_cerevisiae_gca_001581105	nonvertebrates
acetobacter_cibinongensis_gca_002153775	nonvertebrates
acetobacter_cibinongensis_nric_0482_gca_000963925	nonvertebrates
acetobacter_fabarum_gca_002276555	nonvertebrates
acetobacter_ghanensis_gca_001499675	nonvertebrates
acetobacter_indonesiensis_gca_002153545	nonvertebrates
acetobacter_indonesiensis_nric_0313_gca_000963945	nonvertebrates
acetobacter_malorum_gca_000743885	nonvertebrates
acetobacter_malorum_gca_001580615	nonvertebrates
acetobacter_malorum_gca_001580695	nonvertebrates
acetobacter_malorum_gca_001581035	nonvertebrates
acetobacter_malorum_gca_001581085	nonvertebrates
acetobacter_malorum_gca_001642635	nonvertebrates
acetobacter_malorum_gca_002153605	nonvertebrates
acetobacter_okinawensis_gca_002153655	nonvertebrates
acetobacter_orientalis_gca_002153475	nonvertebrates
acetobacter_orientalis_gca_002153685	nonvertebrates
acetobacter_orientalis_gca_002153735	nonvertebrates
acetobacter_orientalis_gca_003966365	nonvertebrates
acetobacter_orientalis_nric_0481_gca_000963965	nonvertebrates
acetobacter_orleanensis_jcm_7639_gca_000964205	nonvertebrates
acetobacter_oryzoeni_gca_004014775	nonvertebrates
acetobacter_pasteurianus_386b_gca_000723785	nonvertebrates
acetobacter_pasteurianus_gca_001662905	nonvertebrates
acetobacter_pasteurianus_gca_003332175	nonvertebrates
acetobacter_pasteurianus_ifo_3283_01_gca_000010825	nonvertebrates
acetobacter_pasteurianus_nbrc_3188_gca_003850825	nonvertebrates
acetobacter_pasteurianus_nbrc_3278_gca_003850885	nonvertebrates
acetobacter_pasteurianus_nbrc_3299_gca_003850965	nonvertebrates
acetobacter_pasteurianus_subsp_pasteurianus_gca_002173735	nonvertebrates
acetobacter_pasteurianus_subsp_pasteurianus_lmg_1262_nbrc_106471_gca_003850805	nonvertebrates
acetobacter_persici_gca_002006565	nonvertebrates
acetobacter_persici_gca_002153675	nonvertebrates
acetobacter_pomorum_dm001_gca_000193245	nonvertebrates
acetobacter_pomorum_gca_002738225	nonvertebrates
acetobacter_pomorum_gca_003391275	nonvertebrates
acetobacter_senegalensis_gca_001499615	nonvertebrates
acetobacter_senegalensis_gca_001580995	nonvertebrates
acetobacter_senegalensis_gca_002156945	nonvertebrates
acetobacter_sp_dmw_043_gca_002153485	nonvertebrates
acetobacter_sp_dsw_54_gca_002153575	nonvertebrates
acetobacter_syzygii_gca_002276805	nonvertebrates
acetobacter_tropicalis_gca_000755665	nonvertebrates
acetobacter_tropicalis_gca_001580945	nonvertebrates
acetobacter_tropicalis_gca_002153795	nonvertebrates
acetobacter_tropicalis_gca_002549835	nonvertebrates
acetobacter_tropicalis_nbrc_101654_gca_000225485	nonvertebrates
acetobacteraceae_bacterium_at_5844_gca_000245075	nonvertebrates
acetobacteraceae_bacterium_gca_003506895	nonvertebrates
acetobacteraceae_bacterium_gca_004843165	nonvertebrates
acetobacteraceae_bacterium_gca_004843345	nonvertebrates
acetobacterium_bakii_gca_001263355	nonvertebrates
acetobacterium_sp_kb_1_gca_003260995	nonvertebrates
acetobacterium_sp_mes1_gca_002237635	nonvertebrates
acetobacterium_wieringae_gca_001766835	nonvertebrates
acetobacterium_woodii_dsm_1030_gca_000247605	nonvertebrates
acetobacteroides_hydrogenigenes_gca_004340205	nonvertebrates
acetohalobium_arabaticum_dsm_5501_gca_000144695	nonvertebrates
acetomicrobium_mobile_dsm_13181_gca_000266925	nonvertebrates
acetomicrobium_thermoterrenum_dsm_13490_gca_900107215	nonvertebrates
acetonema_longum_dsm_6540_gca_000219125	nonvertebrates
acholeplasma_laidlawii_pg_8a_gca_000018785	nonvertebrates
achromobacter_aegrifaciens_gca_001299355	nonvertebrates
achromobacter_agilis_gca_900496965	nonvertebrates
achromobacter_aloeverae_gca_004121055	nonvertebrates
achromobacter_arsenitoxydans_sy8_gca_000236785	nonvertebrates
achromobacter_denitrificans_gca_003939895	nonvertebrates
achromobacter_insolitus_gca_900637265	nonvertebrates
achromobacter_insuavis_axx_a_gca_000219745	nonvertebrates
achromobacter_kerstersii_gca_001298955	nonvertebrates
achromobacter_marplatensis_gca_000286415	nonvertebrates
achromobacter_marplatensis_gca_003315095	nonvertebrates
achromobacter_piechaudii_atcc_43553_gca_000164035	nonvertebrates
achromobacter_piechaudii_gca_001262515	nonvertebrates
achromobacter_pulmonis_gca_002885955	nonvertebrates
achromobacter_ruhlandii_gca_002082135	nonvertebrates
achromobacter_ruhlandii_gca_002799605	nonvertebrates
achromobacter_sp_2789stdy5608607_gca_001299135	nonvertebrates
achromobacter_sp_2789stdy5608614_gca_001298835	nonvertebrates
achromobacter_sp_2789stdy5608628_gca_001299435	nonvertebrates
achromobacter_sp_aonih1_gca_002902905	nonvertebrates
achromobacter_sp_hz28_gca_002209495	nonvertebrates
achromobacter_sp_mfa1_r4_gca_900156745	nonvertebrates
achromobacter_sp_myb9_gca_002975275	nonvertebrates
achromobacter_sp_root170_gca_001428165	nonvertebrates
achromobacter_sp_root565_gca_001427425	nonvertebrates
achromobacter_sp_root83_gca_001428845	nonvertebrates
achromobacter_sp_rta_gca_000757485	nonvertebrates
achromobacter_spanius_gca_002926155	nonvertebrates
achromobacter_spanius_gca_002966795	nonvertebrates
achromobacter_spanius_gca_003994415	nonvertebrates
achromobacter_spanius_gca_900636675	nonvertebrates
achromobacter_veterisilvae_gca_900496975	nonvertebrates
achromobacter_xylosoxidans_a8_gca_000165835	nonvertebrates
achromobacter_xylosoxidans_gca_001299235	nonvertebrates
achromobacter_xylosoxidans_gca_001457475	nonvertebrates
achromobacter_xylosoxidans_gca_001558755	nonvertebrates
achromobacter_xylosoxidans_gca_001641525	nonvertebrates
